UNITID,F3A01,F3A02,F3E03A1,F3E03B1,F3C01,F3C06,F3B02,F3C03A,F3C03B,,,,
200590,1940721,1289538,97115,130000,646965,0,2063368,880974,0,,,,
201469,60095981,1259050,1186965,4428312,4448889,1564301,18545594,803993,0,,,,
202435,697974,330028,112781,128195,136435,0,1993641,37449,0,,,,
202453,,,0,34592,255181,0,,0,0,,,,
202888,,,78201,36256,166018,0,,0,0,,,,
203234,,,134866,134866,477743,0,,0,29088,,,,
203289,555744,328772,31300,157909,467560,0,1317560,55738,0,,,,
203386,49001000,12301000,2488000,7909000,6797378,0,37680000,21670,0,,,,
203438,,,557340,0,387583,46555,,0,0,,,,
203720,532658,199985,242938,481671,1141252,0,2980655,64902,0,,,,
203739,71227,97337,205250,254007,715084,0,1730723,48176,0,,,,
204121,,,0,0,532250,0,,0,0,,,,
204334,,,265204,104040,311184,0,,0,0,,,,
204431,,,44538,0,184438,0,,0,0,,,,
204608,8834362,4821415,683156,367067,2425205,0,10535997,95607,0,,,,
204714,,,19717,73940,181289,2875,,0,0,,,,
204723,,,275000,50000,838087,0,,0,0,,,,
204769,,,2795,62140,426394,0,,0,0,,,,
204778,,,2395,6895,283254,0,,0,0,,,,
204884,2422827,880108,144956,383919,1025644,379460,2677987,19111,0,,,,
204963,,,15981,18519,0,0,,0,0,,,,
205054,2552692,1287878,653473,721185,2102371,0,6912032,93498,198645,,,,
205142,,,21000,21000,748194,0,,42844,0,,,,
205179,17679950,1427083,0,1527190,2009978,46025,9578574,267286,29566,,,,
205391,7911892,6003808,1041631,574205,356974,0,5368448,0,0,,,,
205559,282066,263378,356387,0,405498,0,1414589,53340,3000,,,,
205887,9310044,3388436,88485,1499163,4126328,0,13637227,0,0,,,,
206039,,,199919,52455,111058,0,,0,0,,,,
206394,2652155,2092463,40418,146357,396875,0,1862332,58705,0,,,,
206932,1506822,623210,676512,503508,1298804,63420,3580038,0,0,,,,
207087,,,6814,22180,190661,0,,0,0,,,,
207102,,,82346,0,509472,0,,0,0,,,,
207254,31902932,23614840,2273016,2810684,2602385,273263,28096308,0,0,,,,
207272,,,2188,0,118943,0,,0,0,,,,
207704,,,4590,1520,392915,0,,0,0,,,,
207786,,,695,695,148676,0,,0,0,,,,
207962,18267359,1521513,1499854,930345,2889104,1244135,13143925,40087,165898,,,,
208044,,,0,0,98355,0,,0,0,,,,
208433,,,0,0,189276,0,,0,0,,,,
208479,2850000,2639000,594000,816000,1650000,147000,8158000,0,307000,,,,
208512,4296680,2296933,325000,406000,1098697,0,6229123,0,0,,,,
208637,,,253822,327294,222118,0,,0,0,,,,
208859,,,0,5264,268189,0,,0,27668,,,,
209153,,,0,3463,201220,0,,26600,0,,,,
209205,,,192096,696768,1929121,0,,0,0,,,,
209667,,,0,5818,265544,0,,26558,0,,,,
209676,,,0,11081,381531,0,,7237,14816,,,,
209694,,,0,5541,146934,0,,0,18990,,,,
209700,,,481443,262054,672028,0,,0,0,,,,
