UNITID,F1A06,F1A13,F1C051,F1C061,F1E01,F1E03,F1E04,F1E08,F1N07   
180179,78528466,35370436,5837731,9976515,5368250,294734,0,4918395,67067624
180197,72121885,37282583,2867679,2969382,2212991,21439,0,980944,32552054
180203,10709983,269995,138178,342249,442269,24930,0,11035,7082779
180212,21390122,3999528,283172,608473,384715,0,0,306599,10406141
180249,25186497,5349564,1503350,1669522,2117142,136010,0,1146911,14936816
180276,18222797,4268274,1369594,1948961,1548532,144317,0,901165,12758176
180328,20546810,5565821,725821,750604,626468,31988,0,404196,7999150
180373,14065918,7631826,663429,1695598,936647,0,0,761959,10098849
180416,104652795,37456411,3031844,4488998,2552791,91585,0,5112760,58028439
180461,732794314,379116399,38117201,39398387,13499581,206791,0,34994204,529899819
180489,498037695,290391339,39137246,29166221,11529236,643430,0,22541937,342808572
180522,35187544,11301463,1944765,4590626,2081001,68541,0,2471236,24967600
180692,36940619,15660739,1333204,3835482,2334933,156687,0,2421229,27985977
180902,189148005,21916085,9670304,8177596,6120300,941458,0,3865148,80192553
180948,77021811,12954094,5176226,7400273,2870526,355884,0,4680350,41067835
181215,232223214,46491010,8846570,6512784,7303460,1540665,0,13518361,120189560
181303,312490146,58264173,20036288,15398176,14821422,1699487,0,9368592,136315395
181312,69589324,9467412,2821378,2017427,2125576,175301,0,1193357,30921764
181394,541038213,144805637,24224190,12834482,20211218,0,0,41915592,296550354
181419,11707835,880049,371704,667267,335174,31741,71600,334940,3379128
181428,1959709976,87601780,78889803,731758,911089,228159,0,10635190,637567793
181464,2064052233,516935936,81112563,21977094,19549065,4772616,60,116550604,1090273631
181491,185649459,35178545,8992232,5798870,4772606,429167,0,4357233,58730542
181534,72575368,15095138,3400327,4822178,2964745,589548,0,3518066,29020816
181640,266903082,100873556,11289921,6653634,10820171,904570,0,6564075,116000171
181747,212565897,43971458,6015588,0,,,,,81156322
181765,17746782,5171026,1371317,583389,457523,63266,0,332729,6589998
181783,150046003,26508760,6017669,10105326,4875132,889585,0,6156314,57856786
181817,70202058,14234600,5244544,5213308,2165665,207543,666921,1656484,36580282
182005,413515000,222689000,13674000,32935000,43893000,5993000,0,26999000,236792000
182281,1480096000,767762000,116865000,93197000,45947000,29040000,0,82176000,931975000
182290,1450271533,888159119,68900663,56064332,21337136,27634273,47718,59191722,736419839
182306,43617000,21857000,4394703,2323708,2775000,0,0,2289000,32758000
182500,122329000,68903000,6112000,10953000,8068000,3710000,0,6302000,83450000
182519,154306000,32022000,0,0,,,,,35059000
182564,31933000,21586000,1725000,3054000,3475000,1097000,0,2421000,34180000
182829,9218815,28733648,2637092,1777275,0,0,0,7448147,12507726
183044,1419644222,334794979,68116977,22891631,12680266,724602,0,130733018,575042646
183062,254024685,114195614,12855124,11476650,3800661,248000,0,25176194,101106411
183071,8655350,25874727,4045553,2701555,0,0,0,2297524,19571497
183080,242153798,122419381,9816835,11507283,5092199,414075,0,28690502,96969480
183099,36942096,50517285,945865,2620410,3735462,573970,3120,312332,41951317
183105,10959933,10776641,492860,938467,1345080,254975,1516,91905,11760443
183114,17398420,11453920,632983,1241389,1003159,199102,663,119659,11257951
183123,19958084,10950197,828068,862624,920209,209058,10715,136760,11893491
183132,39605026,36643757,1511408,1669574,3073819,683159,2331,223722,27547206
183141,23564761,22954028,1535247,967405,1707159,323390,1452,232541,18173687
183150,27878884,29222802,711756,2001027,1843002,349261,1588,221258,21059081
183257,37787759,3764834,6187843,5078191,2864761,1016090,0,5907200,17786708
183327,329811068,212469987,205007,0,,,,,8980251
183655,91414279,30303739,4731144,6379758,12131285,4476100,0,14049952,51050286
183743,241350933,84305598,9988105,14895011,20146630,6875505,0,22822637,123028869
183859,190636047,82999651,11758603,8203540,13187338,3432606,395080,11158845,0
