UNITID,SCUGFFN,SCUGFFP,UAGRNTP,UAGRNTT,UPGRNTP,UPGRNTT,UFLOANP,UFLOANT
457299,61,16,54,1152874,54,1143774,52,1613180
457314,45,33,74,556417,74,556417,88,1089234
457323,147,28,79,1971786,62,1541618,64,2908559
457332,11,21,38,96754,38,96754,42,127847
457341,32,17,67,522076,43,412088,54,698038
457350,0,0,49,134607,46,114638,64,418906
457378,18,7,73,877724,55,588122,0,0
457387,98,21,47,1291888,24,572192,0,0
457396,56,26,65,481131,65,481131,33,762258
457402,1,2,68,145674,68,145674,65,247846
457411,20,6,21,791794,18,316305,21,394761
457420,38,15,51,606012,49,563376,68,1235885
457439,69,55,65,333126,63,294261,70,445440
457448,70,43,82,718187,82,718187,85,1442645
457466,18,55,76,151579,76,151579,76,209248
457475,14,9,45,358941,45,358941,64,782765
457484,8,7,89,270870,52,141441,53,342398
457493,13,46,64,186253,64,111510,64,183088
457527,1,0,46,337852,41,251202,49,1049133
457536,58,7,49,1464951,42,1305875,47,2465973
457545,44,30,73,539807,45,289823,57,662786
457554,17,50,74,123674,74,122924,65,145678
457563,142,40,68,652601,36,491019,53,1421921
457572,61,34,54,423660,51,396660,59,730595
457581,85,28,58,649316,34,535437,59,1039621
457606,85,96,96,175222,96,175222,0,0
457615,0,0,63,96595,63,96595,58,157781
457624,10,33,67,120298,57,82298,70,173500
457633,59,20,46,434922,46,434922,47,835963
457642,24,27,19,80349,19,80349,20,76037
457651,25,24,53,257037,43,193391,77,720322
457679,8,31,85,140073,69,91036,0,0
457688,243,59,11,137115,10,117992,0,0
457697,0,0,88,360712,63,278461,0,0
457721,5,25,30,44616,20,12617,30,31999
457749,48,37,54,474518,54,400044,50,499829
457767,167,56,83,949064,80,860006,74,1041836
457776,43,19,44,431969,44,431969,45,769369
457785,108,55,76,906447,66,640136,73,1153315
457794,90,59,88,563048,88,556059,0,0
457800,634,70,31,1095476,31,1095476,42,2916493
457819,17,2,25,638402,19,318650,31,807313
457837,59,23,68,422265,53,349899,63,793959
457846,5,6,63,236966,63,236966,77,530758
457855,13,24,80,219984,67,165358,43,144114
457873,0,0,0,3098,0,3098,0,0
457916,23,19,48,284140,48,284140,57,405505
457925,3,18,65,92478,29,16453,53,61364
457943,26,29,89,409656,82,229977,98,393844
457952,55,22,30,367636,30,367636,41,766424
457989,38,63,48,196444,40,132738,0,0
457998,0,0,25,102616,25,102616,22,74785
458007,111,100,65,275488,55,220263,54,266355
458034,3,5,63,228452,63,228452,55,157609
458043,44,23,64,817581,46,287556,46,522645
458052,9,23,100,171663,68,106748,0,0
458061,4,5,79,222881,79,222881,0,0
458070,94,19,48,1107578,43,918418,49,1836197
458098,39,20,41,399227,41,399227,47,710963
458104,7,4,47,429350,46,422000,27,310413
458113,1,3,73,85957,50,58193,63,187774
458122,5,24,67,40259,67,40259,48,45999
458131,60,44,27,145572,25,139972,39,437129
458140,7,18,23,40162,18,21670,31,61527
458168,24,24,53,180141,53,180141,42,240793
