,index,UNITID,TYPE,TUITION1_INDISTRICT_UG,FEE1_INDISTRICT_UG,NUM_APPS_ADMIT,TOTAL_AMOUNT_PELL_TOUG,STATE,TOTAL_SPENT_ACADEMICSUPP,TOTAL_SPENT_STUDENTSS,STATEGRANT,LOCAL_GRANT
858,498,172440,0,23390,600,1259,867050,SOUTH,665250,4462161,3218356,13106234
859,614,185828,1,14448,3226,10299,16187762,NORTH,35962000,35812000,24155000,0
860,1169,239318,0,41820,1755,4059,2597386,MidWest,3610784,10697518,62442213,77659579
861,1128,234173,0,36010,900,2195,2351812,SOUTH,2408770,9169954,23892442,42821155
862,1087,230728,1,6732,1128,15949,48769658,WEST,50985023,29591421,1223483,7587
863,917,214175,0,53865,735,4543,1966637,NORTH,6374052,13961589,56862201,104582219
864,676,193584,0,34850,1660,3833,2631731,NORTH,7214705,15103903,33102090,84558059
865,959,217688,0,27800,40,4953,4848532,SOUTH,2224517,15630264,32117877,60174108
866,97,122612,0,51930,552,21477,9296731,WEST,32673000,54814000,123887000,378569000
867,662,192323,0,34910,1000,7248,4015699,NORTH,8188508,13429996,46674545,86395482
868,128,129020,1,14406,3428,34437,20506289,NORTH,185321791,50539995,10112234,0
869,1103,232089,0,36480,215,3206,2752008,SOUTH,1693505,7438633,21397026,29752925
870,859,209825,0,49424,220,12562,2675935,WEST,4442000,31057000,90887000,143691000
871,622,186618,0,32900,1976,1515,2175553,NORTH,2231512,4424381,12234999,27784943
872,544,177214,0,29900,1015,1603,2156451,MidWest,3719422,11514632,26903547,53752390
873,379,160038,1,5180,3492,4290,20684389,SOUTH,12256062,10152173,0,0
874,703,196042,1,7070,1325,7156,15915364,NORTH,17041698,18717715,11369167,0
875,203,139959,1,9790,2290,28206,26543062,SOUTH,166353017,50363902,1943134,0
