,UNITID,TYPE,FORPROFIT,BOARD,FEE1_INDISTRICT_UG,ADMS_REQUIRED_COLLEGEPREP,NUM_APPS_ADMIT,TOTAL_AMOUNT_PELL_TOUG,TEACHER_CERT,TUITION_GURANTEE,TOTAL_ASSETS,TOTAL_SPENT_ACADEMICSUPP,TOTAL_SPENT_STUDENTSS,STATEGRANT,LOCAL_GRANT,Highest_Bachelor,STATE_SOUTH,FULLTIME_RETENTIONRATE_SPRING
86,120865,0,1,0,915,0,1543,1839188,1,0,89494987,3187430,5236562,12394365,46154233,0,0,70
87,120883,0,0,0,724,0,14063,6695966,1,0,1134390428,29476408,39182776,98508974,319470703,0,0,87
88,121150,0,1,0,252,0,11768,2961426,1,0,2088934000,91221000,69320000,130833000,416238000,0,0,85
89,121257,0,0,1,144,0,4260,728178,0,0,315510897,4452561,18004238,16823631,62027593,1,0,81
90,121309,0,1,0,700,1,2949,3590791,1,0,261446610,10900882,29024841,34260967,110371108,0,0,84
91,121345,0,0,1,394,1,10388,1739875,0,0,3154346000,19345000,23277000,49734000,178801000,1,0,86
92,121691,0,0,1,350,0,4900,4515696,1,0,465502200,13412530,27767746,79874443,141176774,0,0,75
93,122409,1,0,0,1978,1,64784,53668461,1,0,1600312871,75172959,102612918,45186313,0,0,0,89
94,122436,0,1,0,744,1,13171,4846778,1,0,1513057000,30499000,42018000,128231000,346121000,0,0,84
95,122506,0,0,0,1250,0,502,249819,0,0,312979000,1493000,1835000,12166000,29998000,0,0,79
96,122597,1,0,1,1264,1,31430,56180051,1,0,789840424,58100743,49083081,45663300,0,0,0,82
97,122612,0,1,0,552,1,21477,9296731,1,0,1277161000,32673000,54814000,123887000,378569000,0,0,76
98,122728,0,1,1,1000,0,710,2029387,1,1,119325308,7762674,8605773,16004652,38394459,0,0,69
99,122755,1,0,0,2110,1,32375,51000927,1,0,1175566825,53368822,79146933,49397048,0,0,0,86
100,123457,0,1,0,930,0,1276,1655657,1,0,37692155,1099353,7780811,9600311,21891224,0,0,72
101,123554,0,1,0,200,1,5364,2948601,1,0,346418383,11972797,26986258,57197594,130612651,0,0,81
102,123572,1,0,0,2210,1,13353,12986303,1,0,491149430,23235682,27348048,13733419,0,0,0,79
103,123651,0,1,1,700,0,4055,4273396,1,0,94480021,2157748,10038464,28231495,48939468,0,0,75
104,123961,0,0,0,1015,1,59712,19093166,0,0,14495427000,75196000,232320000,637975000,5529573000,0,0,91
105,125727,0,1,1,1200,1,2493,1182116,1,0,309060246,4509519,11881402,32937419,67973722,1,0,75
